,iteration,loss,train_time,params,status
20,21,-0.8975355355566236,199.39565920829773,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.6000000000000001, 'eval_metric': 'auc', 'gamma': 9.960342269601867, 'gpu_id': 0, 'learning_rate': 0.07619517976834349, 'max_delta_step': 0.0, 'max_depth': 20, 'min_child_weight': 4.0, 'n_estimators': 900, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.6377423916194468, 'reg_lambda': 0.5586126900568193, 'subsample': 1.0, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
21,22,-0.896877125748111,261.1752531528473,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.6000000000000001, 'eval_metric': 'auc', 'gamma': 0.20424155345556616, 'gpu_id': 0, 'learning_rate': 0.0013126228299320402, 'max_delta_step': 2.0, 'max_depth': 20, 'min_child_weight': 6.0, 'n_estimators': 1000, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.6441728784501565, 'reg_lambda': 0.02885147357754439, 'subsample': 0.4, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
22,23,-0.8906469717963419,64.60900330543518,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.5, 'eval_metric': 'auc', 'gamma': 8.748279881881508, 'gpu_id': 0, 'learning_rate': 0.00014178388800899973, 'max_delta_step': 2.0, 'max_depth': 18, 'min_child_weight': 6.0, 'n_estimators': 800, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.2984466812067734, 'reg_lambda': 0.48202622449443283, 'subsample': 0.4, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
23,24,-0.8986437959341157,129.44820952415466,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.6000000000000001, 'eval_metric': 'auc', 'gamma': 4.197304608832678, 'gpu_id': 0, 'learning_rate': 0.0011342155087334038, 'max_delta_step': 0.0, 'max_depth': 18, 'min_child_weight': 2.0, 'n_estimators': 1000, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.5250605173541133, 'reg_lambda': 0.626348053139334, 'subsample': 1.0, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
24,25,-0.8978045506784682,102.97984457015991,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.6000000000000001, 'eval_metric': 'auc', 'gamma': 3.8603228988880565, 'gpu_id': 0, 'learning_rate': 0.0011204491951497348, 'max_delta_step': 6.0, 'max_depth': 18, 'min_child_weight': 2.0, 'n_estimators': 1100, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.7094286245325345, 'reg_lambda': 0.6700069475814108, 'subsample': 0.30000000000000004, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
25,26,-0.8968954522280376,59.10250115394592,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.8, 'eval_metric': 'auc', 'gamma': 3.891634624825056, 'gpu_id': 0, 'learning_rate': 0.006113139103439991, 'max_delta_step': 2.0, 'max_depth': 16, 'min_child_weight': 6.0, 'n_estimators': 1500, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.5358424182253666, 'reg_lambda': 0.9858135684907103, 'subsample': 0.1, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
26,27,-0.9004894655897961,33.497334003448486,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.7000000000000001, 'eval_metric': 'auc', 'gamma': 8.011729124849088, 'gpu_id': 0, 'learning_rate': 0.004511299100940068, 'max_delta_step': 0.0, 'max_depth': 14, 'min_child_weight': 2.0, 'n_estimators': 700, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.6069448477137523, 'reg_lambda': 0.5589139175889071, 'subsample': 0.8, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
27,28,-0.8978580504104714,27.98688840866089,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 1.0, 'eval_metric': 'auc', 'gamma': 9.074531498304005, 'gpu_id': 0, 'learning_rate': 0.004259104779151472, 'max_delta_step': 6.0, 'max_depth': 12, 'min_child_weight': 6.0, 'n_estimators': 700, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.901114674415168, 'reg_lambda': 0.5403836447900933, 'subsample': 0.8, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
28,29,-0.8979870569244099,27.453564882278442,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.7000000000000001, 'eval_metric': 'auc', 'gamma': 7.901983150149805, 'gpu_id': 0, 'learning_rate': 0.08561247055673897, 'max_delta_step': 0.0, 'max_depth': 14, 'min_child_weight': 2.0, 'n_estimators': 1000, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.6170953542151939, 'reg_lambda': 0.2352280888260662, 'subsample': 0.7000000000000001, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
29,30,-0.8985818397975409,16.600887775421143,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.8, 'eval_metric': 'auc', 'gamma': 9.31851767364552, 'gpu_id': 0, 'learning_rate': 0.03876528573016863, 'max_delta_step': 4.0, 'max_depth': 10, 'min_child_weight': 14.0, 'n_estimators': 700, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.7386479102379072, 'reg_lambda': 0.73223608910621, 'subsample': 0.5, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
30,31,-0.8983781567406607,46.68690323829651,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.8, 'eval_metric': 'auc', 'gamma': 7.820038458867394, 'gpu_id': 0, 'learning_rate': 0.012591925997632885, 'max_delta_step': 12.0, 'max_depth': 14, 'min_child_weight': 4.0, 'n_estimators': 1500, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.6963009950101982, 'reg_lambda': 0.43969898181371025, 'subsample': 0.8, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
31,32,-0.9009593871547643,63.757059812545776,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.7000000000000001, 'eval_metric': 'auc', 'gamma': 9.945781194731001, 'gpu_id': 0, 'learning_rate': 0.004704283352305706, 'max_delta_step': 2.0, 'max_depth': 16, 'min_child_weight': 14.0, 'n_estimators': 1400, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.47866825061222057, 'reg_lambda': 0.10745978196261113, 'subsample': 0.9, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
32,33,-0.8936164638046097,29.050742387771606,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.9, 'eval_metric': 'auc', 'gamma': 9.969477147880905, 'gpu_id': 0, 'learning_rate': 0.0019561798017505194, 'max_delta_step': 8.0, 'max_depth': 12, 'min_child_weight': 16.0, 'n_estimators': 700, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.3580624478235505, 'reg_lambda': 0.5265383000306985, 'subsample': 0.9, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
33,34,-0.8986178955319907,66.64487504959106,"{'clf_params': {'booster': 'gbtree', 'colsample_bytree': 0.7000000000000001, 'eval_metric': 'auc', 'gamma': 8.553781107968595, 'gpu_id': 0, 'learning_rate': 0.004008370315861036, 'max_delta_step': 0.0, 'max_depth': 16, 'min_child_weight': 14.0, 'n_estimators': 1400, 'num_class': 33, 'objective': 'multi:softproba', 'reg_alpha': 0.46735202552147614, 'reg_lambda': 0.11773370094623889, 'subsample': 0.9, 'tree_method': 'gpu_hist'}, 'fit_params': {}, 'loss_func': <function <lambda> at 0x00000167EE56A940>}",ok
